Nev;Nemzet;RovidProgram;SzabadProgram
Anna Scserbakova;Orosz Olimpiai Bizottság (ROC);80,2;175,75
Alekszandra Truszova;Orosz Olimpiai Bizottság (ROC);74,6;177,13
Kaori Sakamoto;Japán (JPN);79,84;153,29
Kamila Valijeva;Orosz Olimpiai Bizottság (ROC);82,16;141,93
Wakaba Higuchi;Japán (JPN);73,51;140,93
You Young;Dél-Korea (KOR);70,34;142,75
Alysa Liu;Egyesült Államok(USA);69,5;139,45
Loena Hendrickx;Belgium (BEL);70,09;136,7
Kim Ye-lim;Dél-Korea (KOR);67,78;134,85
Mariah Bell;Egyesült Államok (USA);65,38;136,92
Anastasia Gubanova;Grúzia (GEO);65,4;135,58
Ekaterina Kurakova;Lengyelország (POL);59,08;126,76
Viktoriia Safonova;Fehéroroszország (BLR);61,46;123,37
Olga Mikutina;Ausztria (AUT);61,14;121,06
Ekaterina Ryabova;Azerbajdzsán (AZE);61,82;118,15
Karen Chen;Egyesült Államok (USA);64,11;115,82
Nicole Schott;Németország (GER);63,13;114,52
Lindsay van Zundert;Hollandia (NED);59,24;116,57
Madeline Schizas;Kanada (CAN);60,53;115,03
Eliska Brezinová;Csehország (CZE);64,31;111,1
Eva-Lotta Kiibus;Észtország (EST);59,55;112,2
Alexia Paganini;Svájc (SUI);61,06;107,85
Mana Kawabe;Japán (JPN);62,69;104,04
Alexandra Feigin;Bulgária (BUL);59,16;100,15
Jenni Saarinen;Finnország (FIN);56,97;96,07
